group,model,rmse,mae,mape,file_index
NCMNCACY25-05_1,Informer,0.02099314,0.018478012,0.909307692,0
NCMNCACY25-05_1,Informer,0.025333796,0.023223575,1.194712799,1
NCMNCACY25-05_1,Informer,0.01365408,0.011058766,0.567658665,2
NCMNCACY25-05_1,Informer,0.032786787,0.031808566,1.604721509,3
NCMNCACY25-05_1,Informer,0.01971357,0.01749972,0.868939329,4
NCMNCACY25-05_1,Informer,0.019868018,0.017879022,0.890414231,5
NCMNCACY25-05_1,Informer,0.032714516,0.031217083,1.551051438,6
NCMNCACY25-05_1,Informer,0.021464454,0.018557752,0.975417253,7
NCMNCACY25-05_1,Informer,0.03434289,0.032470077,1.6798703,8
NCMNCACY25-05_1,Informer,0.028024744,0.02405478,1.275557652,9
NCMNCACY25-05_2,IMOE,0.013360183,0.010843718,0.557461288,0
NCMNCACY25-05_2,IMOE,0.013209246,0.010679116,0.548350345,1
NCMNCACY25-05_2,IMOE,0.015021678,0.012301667,0.643158844,2
NCMNCACY25-05_2,IMOE,0.01494719,0.012516496,0.649262406,3
NCMNCACY25-05_2,IMOE,0.013310598,0.01075689,0.55357297,4
NCMNCACY25-05_2,IMOE,0.011860753,0.009195877,0.469044177,5
NCMNCACY25-05_2,IMOE,0.010870388,0.008140887,0.407273183,6
NCMNCACY25-05_2,IMOE,0.011403479,0.008790975,0.442429446,7
NCMNCACY25-05_2,IMOE,0.012530825,0.009660323,0.500036636,8
NCMNCACY25-05_2,IMOE,0.01429452,0.01166126,0.606909953,9
NCMNCACY25-05_2,PATCHTST,0.0162431,0.012671655,0.649147946,0
NCMNCACY25-05_2,PATCHTST,0.026052829,0.022451203,1.171981264,1
NCMNCACY25-05_2,PATCHTST,0.025870835,0.022452403,1.170118339,2
NCMNCACY25-05_2,PATCHTST,0.030886281,0.028067296,1.41656138,3
NCMNCACY25-05_2,PATCHTST,0.023063326,0.019443521,1.014325302,4
NCMNCACY25-05_2,PATCHTST,0.016351784,0.012707675,0.639846548,5
NCMNCACY25-05_2,PATCHTST,0.012886735,0.009794942,0.496399496,6
NCMNCACY25-05_2,PATCHTST,0.022884678,0.019023497,0.995489676,7
NCMNCACY25-05_2,PATCHTST,0.019970587,0.016639944,0.863089506,8
NCMNCACY25-05_2,PATCHTST,0.02148971,0.018774867,0.952738151,9
NCMNCACY25-05_2,Informer,0.017440828,0.012582832,0.606273068,0
NCMNCACY25-05_2,Informer,0.054216377,0.05097321,2.641896345,1
NCMNCACY25-05_2,Informer,0.046949945,0.04519439,2.307807468,2
NCMNCACY25-05_2,Informer,0.026270619,0.023164924,1.208183635,3
NCMNCACY25-05_2,Informer,0.02946988,0.026193265,1.35972444,4
NCMNCACY25-05_2,Informer,0.020990428,0.018213566,0.899566989,5
NCMNCACY25-05_2,Informer,0.02253893,0.019782148,1.02860732,6
NCMNCACY25-05_2,Informer,0.04526764,0.04412406,2.229453996,7
NCMNCACY25-05_2,Informer,0.018572671,0.01576294,0.810717233,8
NCMNCACY25-05_2,Informer,0.018456249,0.014930214,0.752313528,9
NCMNCACY25-05_4,IMOE,0.0088061,0.005252165,0.269606593,0
NCMNCACY25-05_4,IMOE,0.009785589,0.006932234,0.34956031,1
NCMNCACY25-05_4,IMOE,0.008567437,0.00496531,0.248689973,2
NCMNCACY25-05_4,IMOE,0.01032944,0.007857271,0.398374489,3
NCMNCACY25-05_4,IMOE,0.009026662,0.005958568,0.304335612,4
NCMNCACY25-05_4,IMOE,0.009734865,0.006846685,0.346003077,5
NCMNCACY25-05_4,IMOE,0.008541986,0.005259726,0.267498521,6
NCMNCACY25-05_4,IMOE,0.013111455,0.010920725,0.556329452,7
NCMNCACY25-05_4,IMOE,0.010367441,0.007557849,0.384627073,8
NCMNCACY25-05_4,IMOE,0.008209674,0.004779296,0.245447713,9
NCMNCACY25-05_4,PATCHTST,0.015069967,0.012324712,0.632026466,0
NCMNCACY25-05_4,PATCHTST,0.01571772,0.013029304,0.665187044,1
NCMNCACY25-05_4,PATCHTST,0.014945134,0.012240694,0.614038948,2
NCMNCACY25-05_4,PATCHTST,0.014436829,0.011566091,0.593220163,3
NCMNCACY25-05_4,PATCHTST,0.019849805,0.017496154,0.904167071,4
NCMNCACY25-05_4,PATCHTST,0.010460024,0.007312048,0.370955141,5
NCMNCACY25-05_4,PATCHTST,0.01137931,0.008363771,0.422456628,6
NCMNCACY25-05_4,PATCHTST,0.011395199,0.008174278,0.41598808,7
NCMNCACY25-05_4,PATCHTST,0.012087509,0.008911367,0.454379944,8
NCMNCACY25-05_4,PATCHTST,0.011777965,0.008569855,0.425403798,9
NCMNCACY25-05_4,Informer,0.014272101,0.011250701,0.556526612,0
NCMNCACY25-05_4,Informer,0.058076974,0.056017146,2.750990726,1
