Group,Model,MAPE
NCMNCACY25-05_4,ex4,0.30266204
NCMNCACY25-05_4,ex4,0.24594082
NCMNCACY25-05_4,ex4,0.25329143
NCMNCACY25-05_4,ex4,0.3384575
NCMNCACY25-05_4,ex4,0.24089238
NCMNCACY25-05_4,ex4,0.33801597
NCMNCACY25-05_4,ex5,0.2696066
NCMNCACY25-05_4,ex5,0.34956032
NCMNCACY25-05_4,ex5,0.24868998
NCMNCACY25-05_4,ex5,0.3983745
NCMNCACY25-05_4,ex5,0.30433562
NCMNCACY25-05_4,ex5,0.3460031
NCMNCACY25-05_4,ex5,0.26749852
NCMNCACY25-05_4,ex5,0.5563294
NCMNCACY25-05_4,ex5,0.38462707
NCMNCACY25-05_4,ex5,0.24544771
NCMNCACY25-05_4,ex6,0.2693904
NCMNCACY25-05_4,ex6,0.42484877
NCMNCACY25-05_4,ex6,0.27383173
NCMNCACY25-05_4,ex6,0.5537641
NCMNCACY25-05_4,ex6,0.29564908
NCMNCACY25-05_4,ex6,0.28856024
NCMNCACY25-05_4,ex6,0.26932356
NCMNCACY25-05_4,ex6,0.24609405
NCMNCACY25-05_4,ex6,0.25287038
NCMNCACY25-05_4,ex6,0.29037097
NCMNCACY25-05_4,ex7,0.51627713
NCMNCACY25-05_4,ex7,0.47951272
NCMNCACY25-05_4,ex7,0.35083532
NCMNCACY25-05_4,ex7,0.4409675
NCMNCACY25-05_4,ex7,0.25159246
NCMNCACY25-05_4,ex7,0.34543908
NCMNCACY25-05_4,ex7,0.31999397
NCMNCACY25-05_4,ex7,0.30579066
NCMNCACY25-05_4,ex7,0.49950653
NCMNCACY25-05_4,ex7,0.25372177
Random,ex3,3.1835866
Random,ex3,3.1692703
Random,ex3,3.159874
Random,ex3,2.920761
Random,ex3,3.0846965
Random,ex3,3.4018664
Random,ex3,3.2058578
Random,ex3,3.0888953
Random,ex3,2.9938583
Random,ex3,2.9108698
Random,ex4,3.1302876
Random,ex4,3.1051497
Random,ex4,3.163219
Random,ex4,3.099227
Random,ex4,3.0379841
Random,ex4,2.9330335
Random,ex4,2.800274
Random,ex4,2.877
Random,ex4,3.1176271
Random,ex4,3.0614872
Random,ex5,2.6451733
Random,ex5,2.971374
Random,ex5,2.8781025
Random,ex5,2.7506163
Random,ex5,3.0350833
Random,ex5,2.964853
Random,ex5,2.5786905
Random,ex5,2.8579383
Random,ex5,2.6614823
Random,ex5,2.7204976
Random,ex6,3.017853
Random,ex6,3.3730395
Random,ex6,3.3817
Random,ex6,3.2905087
Random,ex6,3.3630867
Random,ex6,3.0815365
Random,ex6,3.271756
Random,ex6,3.2697194
Random,ex6,2.896923
Random,ex6,3.2668517
Random,ex7,2.8993063
Random,ex7,3.097572
Random,ex7,2.9650826
Random,ex7,3.0555634
Random,ex7,3.0453882
Random,ex7,3.0291684
Random,ex7,3.0751257
Random,ex7,3.0012186
Random,ex7,3.0587766
Random,ex7,2.9733527
Fixed,ex3,2.631379
Fixed,ex3,3.3485732
Fixed,ex3,3.0261695
Fixed,ex3,2.3937979
Fixed,ex3,3.0143037
Fixed,ex3,3.3462312
Fixed,ex3,3.506346
Fixed,ex3,2.9067566
Fixed,ex3,4.8681803
Fixed,ex3,3.3672154
Fixed,ex4,3.6291578
Fixed,ex4,2.8087664
Fixed,ex4,3.5829425
Fixed,ex4,2.8956301
Fixed,ex4,3.0475771
Fixed,ex4,2.8184462
Fixed,ex4,2.9330165
Fixed,ex4,2.9701707
Fixed,ex4,3.3273942
Fixed,ex4,3.373519
Fixed,ex5,3.495542
Fixed,ex5,3.4197276
Fixed,ex5,3.5670047
Fixed,ex5,2.7328837
Fixed,ex5,2.7258081
Fixed,ex5,2.4624481
Fixed,ex5,3.0154927
Fixed,ex5,2.5461888
Fixed,ex5,2.312957
Fixed,ex5,3.297296
Fixed,ex6,3.0729802
Fixed,ex6,3.5595617
Fixed,ex6,3.1920075
Fixed,ex6,3.2135289
Fixed,ex6,3.237664
Fixed,ex6,3.291834
Fixed,ex6,4.5882783
Fixed,ex6,2.9633899
Fixed,ex6,2.830497
Fixed,ex6,3.1057065
Fixed,ex7,2.7761655
Fixed,ex7,3.0763521
Fixed,ex7,3.3190687
Fixed,ex7,2.9999056
Fixed,ex7,3.0949512
Fixed,ex7,3.530319
Fixed,ex7,2.8229113
Fixed,ex7,2.7584736
Fixed,ex7,3.2207105
Fixed,ex7,3.2009299
