Model,Condition,MAPE
pre150,NCMCY25-05_1,0.70754
pre150,NCMCY25-05_1,0.62748
pre30,NCMNCACY25-05_1,0.42511
pre30,NCMNCACY25-05_1,0.28769
pre30,NCMNCACY25-05_1,0.76166
pre30,NCMNCACY25-05_1,0.26823
pre30,NCMNCACY25-05_1,0.26446
pre30,NCMNCACY25-05_1,0.37713
pre30,NCMNCACY25-05_1,0.44716
pre30,NCMNCACY25-05_1,0.2134
pre30,NCMNCACY25-05_1,0.57109
pre30,NCMNCACY25-05_1,0.23644
pre50,NCMNCACY25-05_1,0.28157
pre50,NCMNCACY25-05_1,0.42591
pre50,NCMNCACY25-05_1,0.32774
pre50,NCMNCACY25-05_1,0.29312
pre50,NCMNCACY25-05_1,0.44137
pre50,NCMNCACY25-05_1,0.21193
pre50,NCMNCACY25-05_1,0.40879
pre50,NCMNCACY25-05_1,0.26618
pre50,NCMNCACY25-05_1,0.22615
pre50,NCMNCACY25-05_1,0.20321
pre80,NCMNCACY25-05_1,0.40921
pre80,NCMNCACY25-05_1,0.29601
pre80,NCMNCACY25-05_1,0.41397
pre80,NCMNCACY25-05_1,0.27278
pre80,NCMNCACY25-05_1,0.40295
pre80,NCMNCACY25-05_1,0.54282
pre80,NCMNCACY25-05_1,0.27385
pre80,NCMNCACY25-05_1,0.2965
pre80,NCMNCACY25-05_1,0.24724
pre80,NCMNCACY25-05_1,0.46462
pre100,NCMNCACY25-05_1,0.26972
pre100,NCMNCACY25-05_1,0.27684
pre100,NCMNCACY25-05_1,0.23354
pre100,NCMNCACY25-05_1,0.31479
pre100,NCMNCACY25-05_1,0.29171
pre100,NCMNCACY25-05_1,0.22934
pre100,NCMNCACY25-05_1,0.33859
pre100,NCMNCACY25-05_1,0.25033
pre100,NCMNCACY25-05_1,0.32842
pre100,NCMNCACY25-05_1,0.58516
pre150,NCMNCACY25-05_1,0.35484
pre150,NCMNCACY25-05_1,0.24365
pre150,NCMNCACY25-05_1,0.2631
pre150,NCMNCACY25-05_1,0.25018
pre150,NCMNCACY25-05_1,0.3202
pre150,NCMNCACY25-05_1,0.39745
pre150,NCMNCACY25-05_1,0.27022
pre150,NCMNCACY25-05_1,0.32592
pre150,NCMNCACY25-05_1,0.36777
pre150,NCMNCACY25-05_1,0.26417
pre30,NCMNCACY25-05_2,0.44463
pre30,NCMNCACY25-05_2,0.75933
pre30,NCMNCACY25-05_2,0.76567
pre30,NCMNCACY25-05_2,0.70952
pre30,NCMNCACY25-05_2,0.39707
pre30,NCMNCACY25-05_2,0.86836
pre30,NCMNCACY25-05_2,0.38837
pre30,NCMNCACY25-05_2,0.43623
pre30,NCMNCACY25-05_2,0.45447
pre30,NCMNCACY25-05_2,0.4178
pre50,NCMNCACY25-05_2,0.55746
pre50,NCMNCACY25-05_2,0.54835
pre50,NCMNCACY25-05_2,0.64316
pre50,NCMNCACY25-05_2,0.64926
pre50,NCMNCACY25-05_2,0.55357
pre50,NCMNCACY25-05_2,0.46904
pre50,NCMNCACY25-05_2,0.40727
pre50,NCMNCACY25-05_2,0.44243
pre50,NCMNCACY25-05_2,0.50004
pre50,NCMNCACY25-05_2,0.60691
pre80,NCMNCACY25-05_2,0.3495
pre80,NCMNCACY25-05_2,1.26185
pre80,NCMNCACY25-05_2,0.49378
pre80,NCMNCACY25-05_2,0.37207
pre80,NCMNCACY25-05_2,0.42042
pre80,NCMNCACY25-05_2,0.4531
pre80,NCMNCACY25-05_2,0.41479
pre80,NCMNCACY25-05_2,0.4396
pre80,NCMNCACY25-05_2,0.45304
pre80,NCMNCACY25-05_2,0.53736
pre100,NCMNCACY25-05_2,0.48032
pre100,NCMNCACY25-05_2,0.61202
pre100,NCMNCACY25-05_2,0.69939
pre100,NCMNCACY25-05_2,0.6631
pre100,NCMNCACY25-05_2,0.41891
pre100,NCMNCACY25-05_2,0.4462
pre100,NCMNCACY25-05_2,0.59411
pre100,NCMNCACY25-05_2,0.60362
pre100,NCMNCACY25-05_2,1.06134
pre100,NCMNCACY25-05_2,0.47863
pre150,NCMNCACY25-05_2,0.44512
pre150,NCMNCACY25-05_2,0.62901
pre150,NCMNCACY25-05_2,0.90077
pre150,NCMNCACY25-05_2,0.65395
pre150,NCMNCACY25-05_2,0.56561
pre150,NCMNCACY25-05_2,0.62038
pre150,NCMNCACY25-05_2,1.47099
pre150,NCMNCACY25-05_2,0.42596
pre150,NCMNCACY25-05_2,0.35073
pre150,NCMNCACY25-05_2,0.7775
pre30,NCMNCACY25-05_4,0.56807
pre30,NCMNCACY25-05_4,0.43587
pre30,NCMNCACY25-05_4,0.47713
pre30,NCMNCACY25-05_4,0.50531
pre30,NCMNCACY25-05_4,0.30901
pre30,NCMNCACY25-05_4,0.32817
pre30,NCMNCACY25-05_4,0.26724
pre30,NCMNCACY25-05_4,0.32353
pre30,NCMNCACY25-05_4,0.36925
pre30,NCMNCACY25-05_4,0.65549
pre50,NCMNCACY25-05_4,0.26961
pre50,NCMNCACY25-05_4,0.34956
pre50,NCMNCACY25-05_4,0.24869
pre50,NCMNCACY25-05_4,0.39837
pre50,NCMNCACY25-05_4,0.30434
pre50,NCMNCACY25-05_4,0.346
pre50,NCMNCACY25-05_4,0.2675
pre50,NCMNCACY25-05_4,0.55633
pre50,NCMNCACY25-05_4,0.38463
pre50,NCMNCACY25-05_4,0.24545
pre80,NCMNCACY25-05_4,0.31033
pre80,NCMNCACY25-05_4,0.52101
pre80,NCMNCACY25-05_4,0.28886
pre80,NCMNCACY25-05_4,0.43073
pre80,NCMNCACY25-05_4,0.63223
pre80,NCMNCACY25-05_4,0.28871
pre80,NCMNCACY25-05_4,0.41276
pre80,NCMNCACY25-05_4,0.45125
pre80,NCMNCACY25-05_4,0.31194
pre80,NCMNCACY25-05_4,0.5342
pre100,NCMNCACY25-05_4,0.58121
pre100,NCMNCACY25-05_4,0.38409
pre100,NCMNCACY25-05_4,0.79678
pre100,NCMNCACY25-05_4,0.41642
pre100,NCMNCACY25-05_4,0.3693
pre100,NCMNCACY25-05_4,0.31557
pre100,NCMNCACY25-05_4,0.43304
pre100,NCMNCACY25-05_4,0.34481
pre100,NCMNCACY25-05_4,0.62982
pre100,NCMNCACY25-05_4,0.71586
pre150,NCMNCACY25-05_4,0.4092
pre150,NCMNCACY25-05_4,0.42881
pre150,NCMNCACY25-05_4,0.44024
pre150,NCMNCACY25-05_4,0.41944
pre150,NCMNCACY25-05_4,0.71291
pre150,NCMNCACY25-05_4,0.41123
pre150,NCMNCACY25-05_4,1.06044
pre150,NCMNCACY25-05_4,0.46904
pre150,NCMNCACY25-05_4,0.58959
pre150,NCMNCACY25-05_4,0.3395
pre30,Random,2.03142
pre30,Random,2.17611
pre30,Random,2.30657
pre30,Random,2.091
pre30,Random,2.16614
pre30,Random,2.45783
pre30,Random,2.26128
pre30,Random,2.23451
pre30,Random,1.96668
pre30,Random,2.11064
pre50,Random,2.64517
pre50,Random,2.97137
pre50,Random,2.8781
pre50,Random,2.75062
pre50,Random,3.03508
pre50,Random,2.96485
pre50,Random,2.57869
pre50,Random,2.85794
pre50,Random,2.66148
pre50,Random,2.7205
pre80,Random,4.03017
pre80,Random,3.9132
pre80,Random,4.07729
pre80,Random,4.22155
pre80,Random,4.06826
pre80,Random,4.32359
pre80,Random,4.38725
pre80,Random,4.30249
pre80,Random,4.08826
pre80,Random,4.14115
pre100,Random,5.41205
pre100,Random,4.71543
pre100,Random,5.89946
pre100,Random,7.02708
pre100,Random,4.61577
pre100,Random,5.05597
pre100,Random,5.13857
pre100,Random,4.47036
pre100,Random,4.46988
pre100,Random,6.328
pre150,Random,5.41205
pre150,Random,4.71543
pre150,Random,5.89946
pre150,Random,7.02708
pre150,Random,4.61577
pre150,Random,5.05597
pre150,Random,5.13857
pre150,Random,4.47036
pre150,Random,4.46988
pre150,Random,6.328
pre30,Fixed,1.73694
pre30,Fixed,1.31421
pre30,Fixed,1.88879
pre30,Fixed,1.62802
pre30,Fixed,1.53247
pre30,Fixed,2.13588
pre30,Fixed,2.38829
pre30,Fixed,1.3916
pre30,Fixed,1.59585
pre30,Fixed,1.84168
pre50,Fixed,3.49554
pre50,Fixed,3.41973
pre50,Fixed,3.567
pre50,Fixed,2.73288
pre50,Fixed,2.72581
pre50,Fixed,2.46245
pre50,Fixed,3.01549
pre50,Fixed,2.54619
pre50,Fixed,2.31296
pre50,Fixed,3.2973
pre80,Fixed,5.10829
pre80,Fixed,3.92877
pre80,Fixed,4.4003
pre80,Fixed,3.43184
pre80,Fixed,3.2957
pre80,Fixed,3.88416
pre80,Fixed,5.85689
pre80,Fixed,5.30978
pre80,Fixed,4.10975
pre80,Fixed,5.4009
pre100,Fixed,6.37206
pre100,Fixed,8.30307
pre100,Fixed,4.7456
pre100,Fixed,7.90072
pre100,Fixed,6.23593
pre100,Fixed,5.26335
pre100,Fixed,5.95144
pre100,Fixed,7.1295
pre100,Fixed,5.78166
pre100,Fixed,4.90182
pre150,Fixed,6.37206
pre150,Fixed,8.30307
pre150,Fixed,4.7456
pre150,Fixed,7.90072
pre150,Fixed,6.23593
pre150,Fixed,5.26335
pre150,Fixed,5.95144
pre150,Fixed,7.1295
pre150,Fixed,5.78166
pre150,Fixed,4.90182
